,Price,Transmission,Power,Engine CC,Fuel_2.0,Male,Female,Unknown,Total,Sale_2
232,43.26150943,5.905660377,135.3773585,2276,1,6851,1024,383,8258,1
233,13.24516667,4.833333333,66.66666667,1506.5,0,4259,3305,472,8036,1
234,24.674,0,60,160,0,3137,4251,578,7966,1
235,45.59125,5.25,104.1666667,2027.833333,0,4896,2619,420,7935,1
236,20.7195,4.71875,81.375,1950.90625,0,5710,1753,430,7893,1
237,14.04,5,66,898,0,4395,3269,209,7873,1
238,45.76307692,5.307692308,109.0769231,2053,1,4829,2435,433,7697,1
239,42.50666667,7.142857143,99.52380952,1294.142857,0,4563,2622,395,7580,1
240,33.40333333,0,110,1998,0,4639,2546,320,7505,1
241,84.60125,6.5,220.5,3071,0,5864,1082,362,7308,1
242,70.31925,4.5,199,4123.5,0,6232,767,249,7248,1
243,62.39565385,4.384615385,135.5,2972.307692,0,5685,1175,385,7245,1
244,24.612,0,72,1339,0,4587,2144,460,7191,1
245,20.75666667,5.666666667,89.33333333,1332,0,4708,2180,195,7083,1
246,32.73833333,0,100,1798,0,4220,2112,675,7007,1
247,18.657,5,59.58333333,1407.333333,0,3061,3340,417,6818,1
248,46.85390244,7.707317073,125.0487805,1642.04878,1,5657,919,231,6807,1
249,24.84390244,4.756097561,84.92682927,1982.756098,0,5246,1192,346,6784,1
250,38.93888889,6,135.5555556,1642.333333,0,3218,3135,352,6705,1
251,55.4225,6,221,3498,0,5649,800,218,6667,1
252,14.7754,4.8,51.4,1428.4,0,3090,2953,397,6440,1
253,55.25,6,177,1997,0,4891,1201,281,6373,1
254,36.64326667,4.466666667,88.73333333,2284.133333,0,4841,1082,348,6271,1
255,30.352,4.4,99,2117.6,0,3984,1926,310,6220,1
256,20.20388889,4.777777778,82.33333333,1775.777778,0,3634,2138,390,6162,1
257,37.350625,5.375,121.0625,1972.8125,0,4892,989,275,6156,1
258,23.22409091,4.909090909,82,1938,0,3819,1990,340,6149,1
259,16.05676923,4.923076923,67,1703.153846,0,3972,1837,300,6109,1
260,50.48413043,7.304347826,150.6086957,1969,1,4321,1290,379,5990,1
261,17.22277778,4.888888889,70,1615.333333,0,3555,2067,364,5986,1
262,95.29916667,6.333333333,253.6666667,3764.333333,0,4985,692,214,5891,1
263,125.49625,8,282.25,3344.75,0,4371,1148,294,5813,1
264,53.62733333,0,122.6666667,2331.333333,0,4060,1324,410,5794,1
265,26.59125,4.125,108.625,1911.75,0,3537,1839,271,5647,1
266,29.151,5,89,2526.5,0,4054,1123,246,5423,1
267,20.74,5,75,1695,0,3028,2110,282,5420,1
268,11.74,5,63,1405,0,2351,2603,398,5352,1
269,19.895,4.8,94,1742.6,0,3240,1779,238,5257,1
270,53.792,6,134.3333333,1730,0,4463,462,214,5139,1
271,32.11766667,4.666666667,115.3333333,2362,0,3669,933,224,4826,1
272,24.35,6,60,698,0,3014,1462,317,4793,1
273,360.755,6,410,5341,0,4192,359,191,4742,1
274,35.535,6,93.6,1647.4,1,3793,742,139,4674,1
275,28.17,5.583333333,103,1706.333333,0,3389,1045,201,4635,1
276,33.8615625,5.375,116.25,1925.25,0,3722,659,147,4528,1
277,20.21333333,6,74,1329,0,2025,2036,296,4357,1
278,11.917,5,49.13333333,999,0,1693,2445,189,4327,1
279,87.12,8,190,2967,1,3715,401,162,4278,1
280,20.43008333,4.791666667,69.875,1773,0,3321,747,148,4216,1
281,21.105625,5,60.625,1039.5,0,2305,1697,180,4182,1
282,35.37645833,6,103.0833333,1968,1,3063,867,244,4174,1
283,55.2,6,163.5,2696.5,0,2897,1027,249,4173,1
284,31.1275,5.75,105.25,1688.25,0,2709,1292,161,4162,1
285,25.29875,4.5,94,1998,0,2672,1134,301,4107,1
286,57.22905851,5.234042553,120.4255319,2309.340426,1,3085,722,260,4067,1
287,36.70125,4.875,91.75,2019.75,0,2732,1092,220,4044,1
288,18.2955625,4.875,70.25,1836.5,0,3439,405,90,3934,1
289,273.755,6,381,5935,0,3354,305,160,3819,1
290,27.09825,4.666666667,91.75,2247.333333,0,2934,670,181,3785,1
291,19.71783333,4,98,1995,0,2363,1184,225,3772,1
292,44.62833333,4.333333333,127.6666667,3100.333333,1,2805,805,101,3711,1
293,134.789,8,390,4395,0,3327,201,139,3667,1
294,28.803,4.8,111.2,2126.8,0,2855,663,144,3662,1
295,10.83275,5,45,1242,0,1935,1492,164,3591,1
296,121.77,6.666666667,316.3333333,3740,0,3101,278,116,3495,1
297,27.94142857,6.214285714,93.35714286,1235.428571,0,1837,1574,65,3476,1
298,30.839,4.6,121,2378,0,2194,1035,224,3453,1
299,56.15916667,5.5,174.3333333,3199,0,2209,1076,162,3447,1
300,27.12333333,6,101,1497,0,1979,1241,209,3429,1
301,88.77777778,7,190,3377.444444,0,2317,857,251,3425,1
302,27.935,5,103.5,1833,0,2146,1002,267,3415,1
303,20.31264706,5.352941176,63.29411765,1344.823529,1,1712,1409,222,3343,1
304,27.78966667,4.666666667,110.6666667,2050.333333,0,2377,809,153,3339,1
305,19.055,4.6,89.2,1827.8,0,2299,743,141,3183,1
306,48.09553571,5.107142857,117.7857143,2315,0,2608,406,165,3179,1
307,54.2675,5.666666667,114,1998,1,2226,789,148,3163,1
308,46.95322222,6.111111111,126.7777778,1977.166667,1,2631,414,81,3126,1
309,32.65836364,6,101.8181818,1424.727273,0,756,1999,221,2976,1
310,29.57028571,5,84,1997.142857,1,2089,716,170,2975,1
311,41.616,4.6,125.36,2336.52,0,2362,400,186,2948,1
312,105.465,8,257.5,2981,0,2452,349,129,2930,1
313,13.44125,5,54.5,1304,0,1782,991,145,2918,1
314,23.16515789,3.947368421,82.15789474,1817.315789,0,1887,832,174,2893,1
315,31.7425,4.833333333,119.6666667,2116,0,2179,530,142,2851,1
316,11.7129,4,69,1864.8,0,2484,259,52,2795,1
317,21.91166667,4.666666667,88,1586,0,1376,1249,159,2784,1
318,53.10142857,6,163.7142857,2679.285714,0,2267,362,129,2758,1
319,59.4905,5,137.5,2734.5,0,2352,246,104,2702,1
320,17.31241935,4.967741935,66.35483871,1655.741935,0,1823,735,137,2695,1
321,35.72526667,4.4,121,2287.6,0,1828,754,111,2693,1
322,43.9745,4.5,98,2309,0,1873,665,150,2688,1
323,7.712,5,29,899,0,1382,1150,142,2674,1
324,25.08266667,4.533333333,93.6,2127.333333,0,2096,449,110,2655,1
325,16.695,5,54,1360,0,1592,907,129,2628,1
326,32.4898913,5.304347826,113.2826087,2093.021739,0,1354,1067,141,2562,1
327,16.4455,4.666666667,78,1741,0,1623,711,138,2472,1
328,17.587,4.083333333,73.08333333,1363.5,0,1524,816,132,2472,1
329,20.27896296,4.111111111,72.85185185,1832.888889,0,1580,751,126,2457,1
330,78.47722222,0.888888889,224.7777778,3196.555556,0,2034,252,166,2452,1
331,28.87894737,6.736842105,89.26315789,1262.157895,0,1391,967,73,2431,1
332,36.90769355,4.5,126.1451613,2344,0,1924,364,110,2398,1
333,59.7575,6,147,1998,0,1812,422,144,2378,1
334,87.487,0,188,3498,0,1546,655,131,2332,1
335,24.75629032,5.709677419,81.74193548,1735.580645,1,1576,622,126,2324,1
336,42.93428571,3.857142857,122.1428571,2308.285714,0,1507,716,96,2319,1
337,59.05425,6.75,144.375,2417.875,1,1576,536,174,2286,1
338,30.0062,3.2,115.4666667,2245.6,0,1757,354,122,2233,1
339,47.881,5.111111111,141.4444444,3106.666667,1,1573,552,102,2227,1
340,37.471875,5.5,114.5,2167.5,0,1624,486,102,2212,1
341,15.16166667,4.666666667,75,1594,0,1490,595,116,2201,1
342,27.9925,5.5,103,1591,0,1240,881,58,2179,1
343,38.48247059,4.882352941,90.94117647,2953.588235,1,1739,350,88,2177,1
